dist_lo	dist_hi	class	mash_pairs	with_ani	coverage	with_ani_af15	coverage_af15	ani_q1	ani_median	ani_q3
0.2000	0.2050	inter_genus	119823	7204	0.060122	11	0.000092	81.40	81.75	82.13
0.2100	0.2150	all	304386	15579	0.051182	3	0.000010	81.44	81.80	82.18
0.2100	0.2150	congeneric	100791	8197	0.081327	1	0.000010	81.49	81.84	82.24
0.2100	0.2150	inter_genus	203594	7382	0.036258	2	0.000010	81.39	81.74	82.12
0.2100	0.2150	same_species	1	0	0.000000	0	0.000000	nan	nan	nan
0.2150	0.2200	all	481029	11577	0.024067	2	0.000004	81.40	81.75	82.12
0.2150	0.2200	congeneric	98261	4656	0.047384	1	0.000010	81.41	81.79	82.20
0.2150	0.2200	inter_genus	382765	6921	0.018082	1	0.000003	81.39	81.72	82.07
0.2150	0.2200	same_species	3	0	0.000000	0	0.000000	nan	nan	nan
0.2300	0.2350	all	932312	7215	0.007739	0	0.000000	81.37	81.73	82.10
0.2300	0.2350	congeneric	100543	2156	0.021444	0	0.000000	81.43	81.83	82.25
0.2300	0.2350	inter_genus	831769	5059	0.006082	0	0.000000	81.35	81.69	82.04
0.2400	0.2450	all	2165669	3810	0.001759	0	0.000000	81.33	81.65	82.05
0.2400	0.2450	congeneric	109564	731	0.006672	0	0.000000	81.27	81.71	82.16
0.2400	0.2450	inter_genus	2056104	3079	0.001497	0	0.000000	81.34	81.65	82.02
0.2400	0.2450	same_species	1	0	0.000000	0	0.000000	nan	nan	nan
0.2600	0.2650	all	6464121	1580	0.000244	0	0.000000	81.23	81.63	82.12
0.2600	0.2650	congeneric	128121	274	0.002139	0	0.000000	81.31	81.74	82.33
0.2600	0.2650	inter_genus	6335997	1306	0.000206	0	0.000000	81.22	81.61	82.07
0.2600	0.2650	same_species	3	0	0.000000	0	0.000000	nan	nan	nan
