taxid	names	taxids
1006623	Bacteria|Pseudomonadota|Gammaproteobacteria|Aeromonadales|Aeromonadaceae|Aeromonas|Aeromonas cavernicola	2|1224|1236|135624|84642|642|1006623
1007089	Bacteria|Bacteroidota|Chitinophagia|Chitinophagales|Chitinophagaceae|Compostibacter|Compostibacter hankyongensis	2|976|1853228|1853229|563835|2048112|1007089
1007095	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Pigmentiphaga|Pigmentiphaga soli	2|1224|28216|80840|506|152267|1007095
1007096	Bacteria|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Oscillibacter|Oscillibacter ruminantium	2|1239|186801|186802|216572|459786|1263547
1007097	Bacteria|Actinomycetota|Actinomycetes|Mycobacteriales|Gordoniaceae|Gordonia|Gordonia caeni	2|201174|1760|85007|85026|2053|1007097
1007098	Bacteria|Deinococcota|Deinococci|Deinococcales|Deinococcaceae|Deinococcus|Deinococcus daejeonensis	2|1297|188787|118964|183710|1298|1007098
1007099	Bacteria|Pseudomonadota|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas kuykendallii	2|1224|1236|72274|135621|286|1007099
1007511	Bacteria|Pseudomonadota|Alphaproteobacteria|Sphingomonadales|Sphingobiaceae|Sphingobium|Sphingobium limneticum	2|1224|28211|204457|3423717|165695|1007511
1007676	Bacteria|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Companilactobacillus|Companilactobacillus ginsenosidimutans	2|1239|91061|186826|33958|2767879|1007676
1008	Bacteria|Bacteroidota|Saprospiria|Saprospirales|Saprospiraceae|Saprospira|Saprospira grandis	2|976|1937959|1936988|89374|1007|1008
1008152	Archaea|Methanobacteriota|Halobacteria|Halobacteriales|Haladaptataceae|Haladaptatus|Haladaptatus pallidirubidus	2157|28890|183963|2235|3064797|367188|1008152
