accession	ncbi_name	revised_species
GCF_037889055.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037889065.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889075.1	Fusobacterium canifelinum	Fusobacterium canifelinum
GCF_037889085.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_037889095.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889105.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889115.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889125.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037889135.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889145.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889155.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889165.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889175.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037889185.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889195.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889205.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889215.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889225.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889235.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037889245.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889255.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037889265.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889275.1	Fusobacterium nucleatum	Fusobacterium animalis
GCF_037889285.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037889295.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_037889305.1	Fusobacterium varium	Fusobacterium varium
GCF_037889315.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037889325.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037889335.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889345.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037889355.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_037889365.1	Fusobacterium nucleatum	Fusobacterium watanabei
