accession	ncbi_name	revised_species
GCF_000455945.1	Fusobacterium nucleatum subsp. nucleatum ChDC F316	Fusobacterium nucleatum
GCF_000455965.1	Fusobacterium vincentii ChDC F8	Fusobacterium vincentii
GCF_000455985.1	Fusobacterium animalis ChDC F324	Fusobacterium animalis
GCF_000479205.1	Fusobacterium nucleatum CTI-7	Fusobacterium vincentii
GCF_000479225.1	Fusobacterium nucleatum CTI-5	Fusobacterium animalis
GCF_000479245.1	Fusobacterium nucleatum CTI-3	Fusobacterium animalis
GCF_000479265.1	Fusobacterium nucleatum CTI-2	Fusobacterium nucleatum
GCF_000479285.1	Fusobacterium nucleatum CTI-1	Fusobacterium animalis
GCF_000493815.1	Fusobacterium nucleatum W1481	Fusobacterium simiae
GCF_000524215.1	Fusobacterium sp. CM1	Fusobacterium animalis
GCF_000524235.1	Fusobacterium sp. OBRC1	Fusobacterium polymorphum
GCF_000524395.1	Fusobacterium sp. CM22	Fusobacterium polymorphum
GCF_000600355.1	Fusobacterium necrophorum subsp. funduliforme B35	Fusobacterium necrophorum
GCF_000622045.1	Fusobacterium necrophorum HUN048	Fusobacterium necrophorum
GCF_000622245.1	Fusobacterium perfoetens ATCC 29250	Fusobacterium perfoetens
GCF_000691645.1	Fusobacterium necrophorum BL	Fusobacterium necrophorum
GCF_000691665.1	Fusobacterium necrophorum DJ-1	Fusobacterium necrophorum
GCF_000691685.1	Fusobacterium necrophorum BFTR-1	Fusobacterium necrophorum
GCF_000691705.1	Fusobacterium necrophorum DAB	Fusobacterium necrophorum
GCF_000691745.1	Fusobacterium necrophorum DJ-2	Fusobacterium necrophorum
GCF_001296085.1	Fusobacterium animalis	Fusobacterium animalis
GCF_001296125.1	Fusobacterium vincentii ChDC F8	Fusobacterium vincentii
GCF_001296145.1	Fusobacterium animalis	Fusobacterium animalis
GCF_001296165.1	Fusobacterium nucleatum subsp. nucleatum ChDC F316	Fusobacterium nucleatum
GCF_001433955.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_001455085.1	Fusobacterium hwasookii ChDC F206	Fusobacterium hwasookii
GCF_001455105.1	Fusobacterium hwasookii ChDC F300	Fusobacterium hwasookii
GCF_001455125.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_001455145.1	Fusobacterium hwasookii ChDC F174	Fusobacterium hwasookii
GCF_001457555.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_001510735.1	Fusobacterium nucleatum subsp. nucleatum	Fusobacterium nucleatum
GCF_001546395.1	Fusobacterium equinum	Fusobacterium gonidiaformans
GCF_001546435.1	Fusobacterium nucleatum	Fusobacterium animalis
GCF_001596475.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001596485.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001596495.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597305.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597315.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597325.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597335.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597385.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597395.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597405.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597445.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597465.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597475.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597485.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597525.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597545.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597565.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001597575.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_001810475.1	Fusobacterium sp. HMSC073F01	Fusobacterium varium
GCF_001810995.1	Fusobacterium sp. HMSC064B12	Fusobacterium vincentii
GCF_001813745.1	Fusobacterium sp. HMSC065F01	Fusobacterium animalis
GCF_001815715.1	Fusobacterium sp. HMSC064B11	Fusobacterium polymorphum
GCF_001854465.1	Fusobacterium nucleatum	Fusobacterium vincentii
GCF_002202115.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002204435.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002211605.1	Fusobacterium nucleatum subsp. nucleatum	Fusobacterium nucleatum
GCF_002211625.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002243405.1	Fusobacterium sp. oral taxon 203	Fusobacterium nucleatum
GCF_002573475.1	Fusobacterium animalis	Fusobacterium animalis
GCF_002573625.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002591465.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002591475.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002591505.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002591515.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002591545.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002591555.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002591585.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002591645.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002749995.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_002761915.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_002761935.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_002761955.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_002761995.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_002762005.1	Fusobacterium animalis	Fusobacterium animalis
GCF_002762015.1	Fusobacterium animalis	Fusobacterium animalis
GCF_002762025.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_002763595.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_002763625.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_002763695.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_002763735.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_002763775.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_002763815.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_002763875.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_002763915.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_002763925.1	Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum
GCF_002764055.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_002884895.1	Fusobacterium nucleatum	Fusobacterium animalis
GCF_003019295.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum
GCF_003019315.1	Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum
GCF_003019655.1	Fusobacterium varium ATCC 27725	Fusobacterium varium
GCF_003019675.1	Fusobacterium ulcerans	Fusobacterium ulcerans
GCF_003019695.1	Fusobacterium gonidiaformans ATCC 25563	Fusobacterium gonidiaformans
GCF_003019715.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_003019755.1	Fusobacterium periodonticum	Fusobacterium pseudoperiodonticum
GCF_003019785.1	Fusobacterium nucleatum subsp. nucleatum ATCC 23726	Fusobacterium nucleatum
GCF_003436335.1	Fusobacterium varium	Fusobacterium varium
GCF_003438345.1	Fusobacterium mortiferum	Fusobacterium mortiferum
GCF_003463295.1	Fusobacterium ulcerans	Fusobacterium ulcerans
GCF_003470285.1	Fusobacterium mortiferum	Fusobacterium mortiferum
GCF_003470425.1	Fusobacterium varium	Fusobacterium varium
GCF_003470805.1	Fusobacterium mortiferum	Fusobacterium mortiferum
GCF_003732505.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_003732525.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_003859915.1	Fusobacterium canifelinum	Fusobacterium canifelinum
GCF_004134945.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_004134955.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_008633215.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_008801775.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_009696105.1	Fusobacterium sp. FSA-380-WT-2B	Fusobacterium mortiferum
GCF_010367435.1	Fusobacterium sp. IOR10	Fusobacterium sp. IOR10
GCF_012843705.1	Fusobacterium sp. FSA-380-WT-3A	Fusobacterium sp. FSA-380-WT-3A
GCF_014217355.1	Fusobacterium hwasookii	Fusobacterium hwasookii
GCF_014217375.1	Fusobacterium hwasookii	Fusobacterium hwasookii
GCF_014337255.1	Fusobacterium hominis	Fusobacterium hominis
GCF_015552935.1	Fusobacterium sp. 1001295B_180824_G3	Fusobacterium simiae
GCF_015555635.1	Fusobacterium varium	Fusobacterium varium
GCF_016127595.1	Fusobacterium canifelinum	Fusobacterium canifelinum
GCF_016724785.1	Fusobacterium canifelinum	Fusobacterium canifelinum
GCF_016902335.1	Fusobacterium mortiferum	Fusobacterium sp. An425
GCF_018205305.1	Fusobacterium sp. DD4	Fusobacterium bovis
GCF_018205335.1	Fusobacterium sp. DD3	Fusobacterium bovis
GCF_018205345.1	Fusobacterium sp. DD2	Fusobacterium bovis
GCF_018205395.1	Fusobacterium sp. DD1	Fusobacterium bovis
GCF_018205455.1	Fusobacterium sp. DD6	Fusobacterium bovis
GCF_018205515.1	Fusobacterium sp. DD10	Fusobacterium bovis
GCF_018205555.1	Fusobacterium sp. DD13	Fusobacterium bovis
GCF_018205575.1	Fusobacterium sp. DD12	Fusobacterium bovis
GCF_018205755.1	Fusobacterium sp. DD14	Fusobacterium bovis
GCF_018205855.1	Fusobacterium sp. DD17	Fusobacterium bovis
GCF_018206035.1	Fusobacterium sp. DD25	Fusobacterium bovis
GCF_018206065.1	Fusobacterium sp. DD26	Fusobacterium bovis
GCF_018206095.1	Fusobacterium sp. DD29	Fusobacterium bovis
GCF_018206215.1	Fusobacterium sp. DD28	Fusobacterium bovis
GCF_018206505.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_018206575.1	Fusobacterium sp. DD40	Fusobacterium bovis
GCF_018206655.1	Fusobacterium sp. DD43	Fusobacterium bovis
GCF_018206885.1	Fusobacterium sp. DD45	Fusobacterium bovis
GCF_019551945.1	Fusobacterium hwasookii	Fusobacterium hwasookii
GCF_019552005.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_019552045.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_019552065.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_019552085.1	Fusobacterium animalis	Fusobacterium animalis
GCF_019552105.1	Fusobacterium animalis	Fusobacterium animalis
GCF_019552125.1	Fusobacterium animalis	Fusobacterium animalis
GCF_020590195.1	Fusobacterium ulcerans	Fusobacterium ulcerans
GCF_020593925.1	Fusobacterium ulcerans	Fusobacterium ulcerans
GCF_021531475.1	Fusobacterium perfoetens	Fusobacterium sp. An888
GCF_021531595.1	Fusobacterium perfoetens	Fusobacterium sp. An877
GCF_021531635.1	Fusobacterium mortiferum	Fusobacterium mortiferum
GCF_021531855.1	Fusobacterium varium	Fusobacterium varium
GCF_021532115.1	Fusobacterium mortiferum	Fusobacterium mortiferum
GCF_022340105.1	Fusobacterium nucleatum	Fusobacterium animalis
GCF_022340145.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_022340165.1	Fusobacterium nucleatum	Fusobacterium vincentii
GCF_023383525.1	Fusobacterium nucleatum YWH7054	Fusobacterium animalis
GCF_023383545.1	Fusobacterium nucleatum YWH7053	Fusobacterium animalis
GCF_023383575.1	Fusobacterium nucleatum YWH7055	Fusobacterium animalis
GCF_023383605.1	Fusobacterium nucleatum YWH7056	Fusobacterium animalis
GCF_023383645.1	Fusobacterium nucleatum YWH7199	Fusobacterium animalis
GCF_024140205.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_024220095.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_026089295.1	Fusobacterium simiae	Fusobacterium simiae
GCF_027666755.1	Fusobacterium mortiferum	Fusobacterium mortiferum
GCF_027669435.1	Fusobacterium varium	Fusobacterium varium
GCF_027672075.1	Fusobacterium varium	Fusobacterium varium
GCF_027682085.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_027692185.1	Fusobacterium hominis	Fusobacterium hominis
GCF_028561705.1	Fusobacterium simiae	Fusobacterium simiae
GCF_028621975.1	Fusobacterium nucleatum	Fusobacterium vincentii
GCF_028621995.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_028657925.1	Fusobacterium nucleatum	Fusobacterium animalis
GCF_028743415.1	Fusobacterium nucleatum	Fusobacterium animalis
GCF_029894495.1	Fusobacterium sp. PH5-7	Fusobacterium ulcerans
GCF_030180395.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180405.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180445.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180465.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180475.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180485.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180505.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180545.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180565.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180575.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180585.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180625.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180645.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_030180665.1	Fusobacterium necrophorum	Fusobacterium necrophorum
