cutoff	identity	n_genera	n_calls	micro	macro	boot_lo	boot_hi	q1	median	q3
0.05	0.95	162	3544	0.9469525959367946	0.9593555191110062	0.9346708824014361	0.9798425662170701	1.0	1.0	1.0
0.06	0.94	235	5282	0.9556985990155245	0.9587732218455498	0.9408801376319413	0.9746250033814641	1.0	1.0	1.0
0.07	0.9299999999999999	289	6936	0.9548731257208766	0.9559348311757333	0.938876659245606	0.9713358675545342	1.0	1.0	1.0
0.08	0.92	350	8556	0.9547685834502104	0.952358092207515	0.9355706907701004	0.9665857899959077	1.0	1.0	1.0
0.1	0.9	437	11581	0.9588981953199206	0.9555886853553107	0.9420027976191383	0.967198402958286	1.0	1.0	1.0
0.12	0.88	526	14278	0.9593080263342205	0.9582996519739526	0.9467794521931777	0.968637404975	1.0	1.0	1.0
0.13	0.87	576	15636	0.9577897160399079	0.9577640194519432	0.9469965921685015	0.9681316507648978	1.0	1.0	1.0
0.15	0.85	654	17841	0.9562804775517068	0.9551203347124427	0.9436564774288614	0.9644039744452528	1.0	1.0	1.0
0.18	0.8200000000000001	768	20746	0.9542562421671648	0.9556457708700926	0.9465712094336286	0.9646621930685736	1.0	1.0	1.0
0.2	0.8	818	22398	0.9485668363246719	0.9531997393102677	0.9437444779195092	0.9615608459980306	1.0	1.0	1.0
0.25	0.75	957	25418	0.9297348335825006	0.937950838107502	0.9276703873734929	0.9470707211935443	0.9545454545454546	1.0	1.0
