cutoff	identity	n_genera	n_calls	micro	macro	boot_lo	boot_hi	q1	median	q3
0.05	0.95	121	2164	0.988909426987061	0.9834710743801653	0.9586776859504132	1.0	1.0	1.0	1.0
0.06	0.94	193	3826	0.9932043910088866	0.9896373056994818	0.9740932642487047	1.0	1.0	1.0	1.0
0.07	0.9299999999999999	264	5458	0.9952363503114694	0.9932851239669422	0.9824380165289257	1.0	1.0	1.0	1.0
0.08	0.92	315	6976	0.9962729357798165	0.9945767195767197	0.9850529100529101	1.0	1.0	1.0	1.0
0.1	0.9	397	9884	0.9967624443545123	0.9958341406704128	0.989149389653168	1.0	1.0	1.0	1.0
0.12	0.88	502	12715	0.9969327565867087	0.9947134538768005	0.987434875881091	1.0	1.0	1.0	1.0
0.13	0.87	548	14117	0.9963164978394843	0.9950469238790407	0.9884896125772039	0.999866313734927	1.0	1.0	1.0
0.15	0.85	647	16839	0.9900231605202209	0.9909571776549803	0.9844507697575369	0.9964772379395053	1.0	1.0	1.0
0.18	0.8200000000000001	813	20630	0.9700436257876879	0.980850451904718	0.9740072339100903	0.9869917532974892	1.0	1.0	1.0
0.2	0.8	894	22673	0.9500286684602831	0.9669018109344925	0.958951679092784	0.974642534016957	1.0	1.0	1.0
0.25	0.75	1042	26070	0.9097813578826237	0.9487093321666219	0.9395342165999546	0.9577023334710763	1.0	1.0	1.0
