genus_a	genus_b	conflicts	min_dist	gtdb_verdict	gtdb_genus
Escherichia	Shigella	10	0.016275	kept apart	-
Kitasatospora	Streptomyces	6	0.007088	absent	-
Mycobacterium	Mycolicibacterium	6	0.031376	reconciled	Mycobacterium
Macrococcoides	Macrococcus	6	0.038708	reconciled	Macrococcoides
Azorhizophilus	Azotobacter	6	0.043633	reconciled	Azotobacter
Faucicola	Moraxella	6	0.048386	reconciled	Faucicola
Duganella	Pseudoduganella	5	0.044718	reconciled	Rugamonas
Mycobacterium	Mycolicibacter	4	0.007559	reconciled	Mycobacterium
Hallella	Prevotella	4	0.013306	reconciled	Prevotella
Allomuricauda	Flagellimonas	4	0.025812	reconciled	Flagellimonas
Ectopseudomonas	Pseudomonas	4	0.028588	reconciled	Aquipseudomonas
Pseudomonas	Stutzerimonas	4	0.035157	reconciled	Stutzerimonas
Ruminococcoides	Ruminococcus	4	0.039499	reconciled	Ruminococcoides
Aliarcobacter	Arcobacter	4	0.048386	reconciled	Aliarcobacter
Dysosmobacter	Oscillibacter	3	0.008043	absent	-
Bombella	Parasaccharibacter	3	0.008194	reconciled	Bombella
Bacteroides	Lachnospira	3	0.011397	reconciled	Lachnospira
Alkalicoccus	Bacillus	3	0.011802	reconciled	Alkalicoccus
Halopseudomonas	Pseudomonas	3	0.013502	reconciled	Halopseudomonas
Lysobacter	Novilysobacter	3	0.016839	reconciled	Novilysobacter
Brenneria	Prodigiosinella	3	0.017359	reconciled	Prodigiosinella
Coprococcus	Wujia	3	0.017772	reconciled	Coprococcus_C
Hoylesella	Prevotella	3	0.025894	reconciled	Prevotella
Mannheimia	Pasteurella	3	0.026395	reconciled	Basfia
Bacteroides	Caecibacteroides	3	0.029142	reconciled	Bacteroides
Morococcus	Neisseria	3	0.029236	absent	-
Agathobaculum	Butyricicoccus	3	0.039101	reconciled	Agathobaculum
Bacillus	Cytobacillus	3	0.042145	reconciled	Cytobacillus
Planococcus	Planomicrobium	3	0.046835	absent	-
Lysobacter	Noviluteimonas	2	0.000000	reconciled	Noviluteimonas
Anaerosacchariphilus	Roseburia	2	0.000434	reconciled	Laedolimicola
Tenebrionibacter	Tenebrionicola	2	0.001759	reconciled	Tenebrionibacter
Mesorhizobium	Terribium	2	0.001786	reconciled	Mesorhizobium
Faecalicatena	Mediterraneibacter	2	0.002216	reconciled	Mediterraneibacter
Mycovorax	Niabella	2	0.004301	reconciled	Niabella
Aminirod	Aminithiophilus	2	0.006112	reconciled	Aminithiophilus
Chimaeribacter	Nissabacter	2	0.006769	reconciled	Chimaeribacter
Acidithiobacillus	Igneacidithiobacillus	2	0.008693	absent	-
Leptogranulimonas	Muricaecibacterium	2	0.011847	reconciled	Leptogranulimonas
Flintibacter	Muriventricola	2	0.012307	reconciled	Lawsonibacter
Bacillus	Peribacillus	2	0.012872	reconciled	Peribacillus
Harryflintia	Provencibacterium	2	0.012872	reconciled	Harryflintia
Lentibacillus	Virgibacillus	2	0.013551	reconciled	Lentibacillus_C
Gabonibacter	Sanguibacteroides	2	0.013949	reconciled	Gabonibacter
Arcobacter	Poseidonibacter	2	0.014201	reconciled	Poseidonibacter
Clostridium	Massilioclostridium	2	0.014767	reconciled	Massilioclostridium
Owariibacterium	Ruthenibacterium	2	0.014767	reconciled	Ruthenibacterium
Sulfurimonas	Thiomicrolovo	2	0.015454	reconciled	Thiomicrolovo
Holtiella	Niameybacter	2	0.016164	reconciled	Holtiella
Ancylobacter	Starkeya	2	0.017184	reconciled	Ancylobacter
Entomoplasma	Mesoplasma	2	0.020814	reconciled	Entomoplasma
Prevotella	Xylanibacter	2	0.021223	reconciled	Prevotella
Acinetobacter	Actinomadura	2	0.021850	absent	-
Companilactobacillus	Lactobacillus	2	0.022205	reconciled	Companilactobacillus
Alitiscatomonas	Enterocloster	2	0.022493	reconciled	Alitiscatomonas
Oceanobacter	Thalassolituus	2	0.023526	reconciled	Oceanobacter
Anaeroarcus	Anaeromusa	2	0.023602	reconciled	Anaeromusa
Claveliimonas	Lachnoclostridium	2	0.023830	reconciled	Claveliimonas
Anaerolactibacter	Stecheria	2	0.023830	reconciled	Bulleidia
Hominimerdicola	Ruminococcus	2	0.024526	reconciled	Hominimerdicola
Grylomicrobium	Lactimicrobium	2	0.028315	reconciled	Bulleidia
Atrimonas	Thermatribacter	2	0.028864	reconciled	Thermatribacter
Chryseobacterium	Kaistella	2	0.030383	reconciled	Kaistella
Simiaoa	Waltera	2	0.033914	reconciled	Acetatifactor
Uniformispora	Yinghuangia	2	0.034136	reconciled	Yinghuangia
Aestuarium	Marivivens	2	0.034360	absent	-
Caniella	Granulimonas	2	0.035740	reconciled	Granulimonas
Paracnuella	Pseudocnuella	2	0.042732	reconciled	Flavisolibacter
Rhodocista	Rhodospirillum	2	0.042732	absent	-
Paeniclostridium	Paraclostridium	2	0.043179	reconciled	Paraclostridium
Flavimobilis	Sanguibacter	2	0.043786	reconciled	Flavimobilis
