cutoff	calls	precision	recall	err_congeneric	err_inter_genus
0.0020	11234	0.993146	0.882046	69	8
0.0040	11471	0.991893	0.899518	83	10
0.0060	11571	0.990753	0.906317	95	12
0.0080	11716	0.985063	0.912404	152	23
0.0100	11858	0.980351	0.919045	208	25
0.0120	11978	0.975872	0.924105	262	27
0.0140	12128	0.970811	0.930825	312	42
0.0160	12260	0.965416	0.935726	371	53
0.0180	12391	0.961585	0.941972	414	62
0.0200	12501	0.958483	0.947269	457	62
0.0220	12619	0.954909	0.952644	505	64
0.0240	12731	0.950986	0.957151	545	79
0.0260	12826	0.949088	0.962369	571	82
0.0280	12914	0.946105	0.965926	608	88
0.0300	13018	0.941927	0.969405	664	92
0.0320	13124	0.936986	0.972172	733	94
0.0340	13252	0.931558	0.975966	812	95
0.0360	13394	0.924742	0.979208	904	104
0.0380	13532	0.916716	0.980710	1021	106
0.0400	13661	0.909304	0.982054	1129	110
0.0420	13775	0.902577	0.982924	1230	112
0.0426	13797	0.901138	0.982924	1251	113
0.0440	13889	0.895601	0.983398	1331	119
0.0450	13946	0.892084	0.983556	1383	122
0.0460	14007	0.888627	0.984030	1435	125
0.0480	14158	0.879503	0.984426	1578	128
0.0500	14324	0.870148	0.985374	1731	129
0.0520	14466	0.861814	0.985612	1866	133
0.0540	14661	0.850965	0.986323	2049	136
0.0560	14817	0.842613	0.987035	2194	138
0.0580	14970	0.834269	0.987351	2343	138
0.0600	15146	0.824706	0.987509	2509	146
0.0620	15323	0.815376	0.987746	2681	148
0.0640	15473	0.807730	0.988062	2825	150
0.0660	15635	0.799808	0.988616	2976	154
0.0680	15781	0.792535	0.988774	3110	164
0.0700	15931	0.785073	0.988774	3254	170
0.0720	16074	0.778213	0.988932	3390	175
0.0740	16211	0.771637	0.988932	3521	181
0.0760	16373	0.764002	0.988932	3672	192
0.0780	16525	0.756974	0.988932	3818	198
0.0800	16679	0.749985	0.988932	3965	205
0.0820	16853	0.742360	0.989090	4125	217
0.0840	17022	0.734990	0.989090	4285	226
0.0860	17183	0.728103	0.989090	4435	237
0.0880	17337	0.721636	0.989090	4583	243
0.0900	17467	0.716265	0.989090	4711	245
0.0920	17590	0.711256	0.989090	4827	252
0.0940	17741	0.705203	0.989090	4976	254
0.0960	17894	0.699173	0.989090	5122	261
0.0980	18056	0.692900	0.989090	5282	263
0.1000	18182	0.688098	0.989090	5396	275
0.1020	18325	0.682729	0.989090	5534	280
0.1040	18473	0.677259	0.989090	5670	292
0.1060	18627	0.671767	0.989248	5819	295
0.1080	18775	0.666471	0.989248	5960	302
0.1100	18959	0.660003	0.989248	6139	307
0.1120	19111	0.654754	0.989248	6284	314
0.1140	19291	0.648644	0.989248	6453	325
0.1160	19459	0.643044	0.989248	6610	336
0.1180	19581	0.639038	0.989248	6721	347
0.1200	19705	0.635118	0.989406	6836	354
0.1220	19848	0.630542	0.989406	6976	357
0.1240	19999	0.625781	0.989406	7121	363
0.1260	20174	0.620353	0.989406	7286	373
0.1280	20291	0.616776	0.989406	7398	378
0.1300	20454	0.611861	0.989406	7554	385
0.1320	20623	0.606847	0.989406	7699	409
0.1340	20744	0.603307	0.989406	7814	415
0.1360	20952	0.597318	0.989406	7995	442
0.1380	21096	0.593240	0.989406	8131	450
0.1400	21247	0.589024	0.989406	8264	468
0.1420	21379	0.585388	0.989406	8395	469
0.1440	21551	0.580716	0.989406	8543	493
0.1460	21706	0.576569	0.989406	8686	505
0.1480	21843	0.572952	0.989406	8806	522
0.1500	22006	0.568709	0.989406	8951	540
