domain	dist_lo	genera	pairs	micro_p	macro_p	ci_lo	ci_hi	q1	median	q3
Bacteria	0.2650	1566	1248944	0.010738	0.021303	0.016042	0.026848	0.000000	0.000000	0.000000
Bacteria	0.2700	1930	3015240	0.009246	0.019071	0.014964	0.023825	0.000000	0.000000	0.000000
Bacteria	0.2750	2083	3849622	0.008030	0.015144	0.011493	0.019093	0.000000	0.000000	0.000000
Bacteria	0.2800	1938	2342258	0.006842	0.011450	0.008227	0.015011	0.000000	0.000000	0.000000
Bacteria	0.2850	2426	5896134	0.005736	0.008578	0.006340	0.011140	0.000000	0.000000	0.000000
Bacteria	0.2900	2363	3810029	0.004465	0.005933	0.003792	0.008256	0.000000	0.000000	0.000000
Bacteria	0.3000	2521	4657058	0.003854	0.004419	0.002840	0.006261	0.000000	0.000000	0.000000
Bacteria	0.3050	2726	5845202	0.003236	0.003192	0.001932	0.004696	0.000000	0.000000	0.000000
Bacteria	0.3100	2926	7580621	0.002521	0.002504	0.001477	0.003844	0.000000	0.000000	0.000000
Bacteria	0.3200	3176	10223945	0.001805	0.001492	0.000786	0.002420	0.000000	0.000000	0.000000
Bacteria	0.3250	3477	14331977	0.001162	0.000701	0.000298	0.001328	0.000000	0.000000	0.000000
Bacteria	0.3350	3779	21205816	0.000645	0.000206	0.000090	0.000374	0.000000	0.000000	0.000000
Bacteria	0.3500	3956	33979170	0.000298	0.000049	0.000025	0.000079	0.000000	0.000000	0.000000
Bacteria	0.3700	4011	66921737	0.000099	0.000008	0.000004	0.000014	0.000000	0.000000	0.000000
Archaea	0.0850	2	78	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Archaea	0.0900	2	108	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Archaea	0.0950	2	70	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Archaea	0.1000	2	108	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Archaea	0.1200	2	146	0.972603	0.980198	0.960396	1.000000	0.960396	0.980198	1.000000
Archaea	0.1250	2	66	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
