cutoff	identity	n_genera	n_calls	micro	macro	boot_lo	boot_hi	q1	median	q3
0.05	0.95	172	3777	0.9473126820227694	0.9585148472805843	0.9367518689721911	0.9770330007492589	1.0	1.0	1.0
0.06	0.94	231	5357	0.9535187605002801	0.957591873579619	0.936940863772419	0.975060137185754	1.0	1.0	1.0
0.07	0.9299999999999999	288	6889	0.9577587458266802	0.9594423359397992	0.9434336490621479	0.9736867603629035	1.0	1.0	1.0
0.08	0.92	339	8296	0.9591369334619093	0.9623453019108021	0.9482711598062735	0.9746593562183222	1.0	1.0	1.0
0.1	0.9	414	11135	0.9567130669061518	0.9565360064958728	0.9430380283039771	0.9689353974849142	1.0	1.0	1.0
0.12	0.88	508	13926	0.9579204365934224	0.9585480780170644	0.947384919842816	0.9686181775351236	1.0	1.0	1.0
0.13	0.87	553	15313	0.957617710442108	0.9573321037784817	0.9458574096787117	0.966997278992212	1.0	1.0	1.0
0.15	0.85	645	18106	0.9513420965425826	0.949914882602006	0.9392859653677651	0.9598711936888462	1.0	1.0	1.0
0.18	0.8200000000000001	805	21913	0.9341943138776069	0.9363187075799283	0.9258032695779489	0.9464151146412988	0.9531135531135531	1.0	1.0
0.2	0.8	871	23981	0.916308744422668	0.9233069010637522	0.9116197117107033	0.9335677490441465	0.9166666666666666	1.0	1.0
0.25	0.75	1003	27431	0.8816667274251759	0.9015728798685437	0.8892102709472581	0.9128474132853787	0.875	1.0	1.0
